cellline,concentration,viability
COLO320DM,-3.3979400086720375,1.061
COLO320DM,-2.9208187539523753,0.959
COLO320DM,-2.431798275933005,0.951
COLO320DM,-1.958607314841775,0.945
COLO320DM,-1.4685210829577449,0.692
COLO320DM,-1.0,0.611
COLO320DM,-0.5228787452803376,0.116
COLO320DM,-3.853871964321762,0.815
COLO320DM,-3.3979400086720375,0.876
COLO320DM,-2.9208187539523753,0.973
COLO320DM,-2.431798275933005,1.054
COLO320DM,-1.958607314841775,0.85
COLO320DM,-1.4685210829577449,0.582
COLO320DM,-1.0,0.158
COLO320DM,-0.5228787452803376,0.452
COLO320DM,-3.853871964321762,0.966
COLO320DM,-3.3979400086720375,0.948
COLO320DM,-2.9208187539523753,1.114
COLO320DM,-2.431798275933005,0.941
COLO320DM,-1.958607314841775,0.693
COLO320DM,-1.4685210829577449,0.77
COLO320DM,-1.0,0.192
COLO320DM,-0.5228787452803376,0.456
DLD1,-3.853871964321762,1.081
DLD1,-3.3979400086720375,0.418
DLD1,-2.9208187539523753,1.061
DLD1,-2.431798275933005,0.95
DLD1,-1.958607314841775,0.937
DLD1,-1.4685210829577449,0.873
DLD1,-1.0,0.586
DLD1,-0.5228787452803376,0.372
DLD1,-3.853871964321762,1.118
DLD1,-3.3979400086720375,0.982
DLD1,-2.9208187539523753,1.063
DLD1,-2.431798275933005,0.993
DLD1,-1.958607314841775,1.03
DLD1,-1.4685210829577449,0.763
DLD1,-1.0,0.439
DLD1,-0.5228787452803376,0.318
DLD1,-3.853871964321762,0.819
DLD1,-3.3979400086720375,1.027
DLD1,-2.9208187539523753,1.067
DLD1,-2.431798275933005,0.927
DLD1,-1.958607314841775,1.04
DLD1,-1.4685210829577449,0.576
DLD1,-1.0,0.358
DLD1,-0.5228787452803376,0.202
DLD1,-3.853871964321762,0.923
DLD1,-3.3979400086720375,1.032
DLD1,-2.9208187539523753,0.999
DLD1,-2.431798275933005,1.005
DLD1,-1.958607314841775,1.077
DLD1,-1.4685210829577449,0.684
DLD1,-1.0,0.44
DLD1,-0.5228787452803376,0.223
DLD1,-3.853871964321762,0.948
